Topic 1: mhz, year, engineer, explain, bottom, cut, code, depend, provide, ignore, convert, represent, paint, international, place, widget, today, sick, extension, author
Topic 2: time, community, setup, decade, disk, seek, manager, odd, player, cost, board, start, information, week, market, brain, service, plan, fact, picture
Topic 3: include, armenian, pick, control, change, large, raise, put, smoke, band, representative, authority, usual, date, memory, medium, hear, judge, involve, intent
Topic 4: nation, spring, associate, reason, read, format, top, matter, gay, root, dream, size, bill, careful, motif, folk, chip, note, medical, crash
Topic 5: good, part, town, credit, hand, build, view, manufacturer, traffic, story, plenty, early, fund, avoid, country, cult, realize, apply, victim, act
Topic 6: run, line, white, reference, recognize, homosexual, circumstance, form, occur, star, gather, mile, yesterday, hurt, interested, phrase, university, imho, absolutely, expect
Topic 7: people, ship, gear, find, introduce, seal, type, tool, sexual, prevent, beat, plain, true, happen, site, measure, cycle, management, danger, button
Topic 8: register, write, trust, money, month, speak, scsi, block, active, green, game, protection, license, relate, collection, popular, sleep, identical, wind, detail
Topic 9: program, drive, box, gun, positive, bind, sense, move, agree, effective, government, dry, tank, show, meaning, text, sit, primarily, library, platform
Topic 10: system, pack, basic, task, save, store, city, directly, failure, create, instrument, encryption, play, leave, usenet, upgrade, estimate, soldier, limit, ground
Topic 11: work, point, selection, existence, posting, device, stable, homosexuality, basis, office, understand, sufficient, cheap, sentence, object, interest, describe, end, student, culture
Topic 12: directory, question, window, design, compatible, call, obtain, determine, compromise, morning, produce, past, eye, level, difficult, driver, detect, notice, effectively, experience
Topic 13: send, western, motherboard, card, improve, instance, thought, feel, camera, instal, rate, package, proceed, standard, secure, temperature, issue, strongly, hide, conflict
Topic 14: flight, policy, baby, mix, straight, earlier, newsgroup, current, thing, bit, list, document, requirement, member, file, verse, track, engine, population, confuse
Topic 15: make, set, tax, byte, exact, eternal, mass, subject, join, stuff, case, frequency, rely, harm, strange, magazine, brake, knock, son, stop
Topic 16: problem, worry, floor, light, connector, wonderful, legitimate, commercial, warn, suggestion, great, relevant, color, process, title, day, black, interface, dealer, violence
Topic 17: space, stock, difference, age, doubt, equipment, word, dangerous, combination, common, express, wide, core, relation, range, citizen, speed, visit, free, bus
Topic 18: damage, specifically, number, filter, combine, company, kind, moon, discussion, initial, solar, super, require, expensive, road, hold, fax, general, anti, acceptable
Topic 19: protect, differ, publish, processing, source, wait, statistic, page, dozen, education, organize, state, lot, power, examine, destroy, drug, delete, taxis, die
Topic 20: software, sell, slightly, relationship, develop, follow, scientist, handle, method, liberal, agreement, voltage, translation, corner, investigation, action, compression, tire, hardware, fire
